crop_name,soil_type,soil_moisture_level,temperature,humidity,rainfall,region_name,season,crop_age_in_days,predicted_disease_name
sugarcane,redsoil,46,27,86,1162,srikakulam,kharif,366,redrot
sugarcane,redsoil,43,29,76,1162,srikakulam,kharif,91,smut
sugarcane,redsoil,56,26,81,1162,srikakulam,kharif,16,settrot
sugarcane,redsoil,49,31,71,1162,srikakulam,kharif,181,wilt
sugarcane,redsoil,51,28,89,1162,srikakulam,kharif,151,rust
sugarcane,redsoil,48,29,79,1162,srikakulam,kharif,121,guosis
sugarcane,redsoil,47,28,83,1162,srikakulam,kharif,101,redstripe
sugarcane,redsoil,45,27,81,1162,srikakulam,kharif,91,sugarcanemosaicvirus
sugarcane,redsoil,51,30,79,1162,srikakulam,kharif,151,grassyshootdisease
sugarcane,redsoil,44,29,83,1162,srikakulam,kharif,366,ratoonstuntingdisease
sugarcane,redclayloam,51,30,79,1200,visakhapatnam,kharif,151,grassyshootdisease
sugarcane,redclayloam,46,27,86,1200,visakhapatnam,kharif,366,redrot
sugarcane,redclayloam,43,29,76,1200,visakhapatnam,kharif,91,smut
sugarcane,redclayloam,56,26,81,1200,visakhapatnam,kharif,16,settrot
sugarcane,redclayloam,49,31,71,1200,visakhapatnam,kharif,181,wilt
sugarcane,redclayloam,51,28,89,1200,visakhapatnam,kharif,151,rust
sugarcane,redclayloam,48,29,79,1200,visakhapatnam,kharif,121,guosis
sugarcane,redclayloam,47,28,83,1200,visakhapatnam,kharif,101,redstripe
sugarcane,clayloam,49,28,81,1200,visakhapatnam,kharif,366,redrot
sugarcane,clayloam,46,30,75,1200,visakhapatnam,kharif,91,smut
sugarcane,clayloam,56,27,83,1200,visakhapatnam,kharif,16,settrot
sugarcane,clayloam,51,31,73,1200,visakhapatnam,kharif,181,wilt
sugarcane,clayloam,52,28,87,1200,visakhapatnam,kharif,151,rust
sugarcane,redsandyloam,43,28,79,1200,visakhapatnam,kharif,366,redrot
sugarcane,redsandyloam,41,30,71,1200,visakhapatnam,kharif,91,smut
sugarcane,redsandyloam,54,26,83,1200,visakhapatnam,kharif,16,settrot
sugarcane,redsandyloam,49,28,86,1200,visakhapatnam,kharif,151,rust
sugarcane,clayloam,49,29,79,1200,visakhapatnam,kharif,121,guosis
sugarcane,redsandyloam,46,29,78,1200,visakhapatnam,kharif,121,guosis
sugarcane,clayloam,45,27,80,1200,visakhapatnam,kharif,91,sugarcanemosaicvirus
sugarcane,clayloam,43,29,81,1132,vizayanagaram,kharif,366,ratoonstuntingdisease
sugarcane,redsandyloam,46,27,86,1132,vizayanagaram,kharif,366,redrot
sugarcane,redsandyloam,43,29,76,1132,vizayanagaram,kharif,91,smut
sugarcane,redsandyloam,54,26,81,1132,vizayanagaram,kharif,16,settrot
sugarcane,redsandyloam,49,31,71,1132,vizayanagaram,kharif,181,wilt
sugarcane,redsandyloam,51,28,89,1132,vizayanagaram,kharif,151,rust
sugarcane,redsandyloam,46,29,79,1132,vizayanagaram,kharif,121,guosis
sugarcane,redsandyclayloam,49,28,83,1132,vizayanagaram,kharif,101,redstripe
sugarcane,redsandyclayloam,45,27,81,1132,vizayanagaram,kharif,91,sugarcanemosaicvirus
sugarcane,redsandyclayloam,51,30,79,1132,vizayanagaram,kharif,151,grassyshootdisease
sugarcane,redsandyclayloam,44,29,83,1132,vizayanagaram,kharif,366,ratoonstuntingdisease
sugarcane,clayloam,49,28,81,1132,vizayanagaram,kharif,366,redrot
sugarcane,clayloam,46,30,75,1132,vizayanagaram,kharif,91,smut
sugarcane,clayloam,56,27,83,1132,vizayanagaram,kharif,16,settrot
sugarcane,clayloam,51,31,73,1132,vizayanagaram,kharif,181,wilt
sugarcane,clayloam,52,28,87,1132,vizayanagaram,kharif,151,rust
sugarcane,clayloam,49,29,79,1132,vizayanagaram,kharif,121,guosis
sugarcane,clayloam,47,29,82,1132,vizayanagaram,kharif,101,redstripe
sugarcane,clayloam,45,27,80,1132,vizayanagaram,kharif,91,sugarcanemosaicvirus
sugarcane,clayloam,52,30,78,1132,vizayanagaram,kharif,151,grassyshootdisease
sugarcane,redsandyloam,46,29,83,1020,eastgodavari,kharif,366,ratoonstuntingdisease
sugarcane,sandyclayloam,56,29,86,1020,eastgodavari,kharif,366,redrot
sugarcane,sandyclayloam,53,31,79,1020,eastgodavari,kharif,91,smut
sugarcane,sandyclayloam,61,27,86,1020,eastgodavari,rabi,16,settrot
sugarcane,sandyclayloam,59,32,81,1020,eastgodavari,kharif,181,wilt
sugarcane,clayloam,58,29,89,1020,eastgodavari,kharif,151,rust
sugarcane,clayloam,54,30,80,1020,eastgodavari,rabi,121,guosis
sugarcane,clayloam,51,28,84,1020,eastgodavari,rabi,101,redstripe
sugarcane,clayloam,56,29,82,1020,eastgodavari,rabi,91,sugarcanemosaicvirus
sugarcane,redsandyloam,49,30,80,1020,eastgodavari,kharif,151,grassyshootdisease
sugarcane,clayloam,57,29,86,1152,westgodavari,kharif,366,ratoonstuntingdisease
sugarcane,redsandyloam,53,29,86,1152,westgodavari,kharif,366,redrot
sugarcane,clayloam,56,31,81,1152,westgodavari,kharif,91,smut
sugarcane,alluvial,59,30,85,1152,westgodavari,kharif,16,settrot
sugarcane,deltaicalluvial,61,29,87,1152,westgodavari,kharif,181,wilt
sugarcane,clayloam,55,28,89,1152,westgodavari,kharif,151,rust
sugarcane,clayloam,56,29,83,1152,westgodavari,kharif,91,sugarcanemosaicvirus
sugarcane,deltaicalluvial,61,28,85,1152,westgodavari,kharif,151,grassyshootdisease
sugarcane,redloam,53,29,81,1034,krishna,rabi,366,ratoonstuntingdisease
sugarcane,blackcottonsoil,59,29,83,1034,krishna,rabi,366,redrot
sugarcane,redloam,53,30,81,1034,krishna,rabi,91,smut
sugarcane,sandyclayloam,56,29,82,1034,krishna,rabi,16,settrot
sugarcane,blackcottonsoil,61,28,79,1034,krishna,rabi,181,wilt
sugarcane,redloam,54,27,80,1034,krishna,rabi,151,rust
sugarcane,blackcottonsoil,58,29,81,1034,krishna,rabi,121,sugarcanemosaicvirus
sugarcane,sandyclayloam,56,28,82,1034,krishna,rabi,181,grassyshootdisease
sugarcane,coastalsandysoil,47,31,81,1095,nellore,kharif,271,redstripe
sugarcane,redsoil,59,30,79,1095,nellore,kharif,366,redrot
sugarcane,coastalsandysoil,46,31,83,1095,nellore,kharif,16,settrot
sugarcane,redsoil,55,29,77,1095,nellore,kharif,91,smut
sugarcane,blackcottonsoil,63,29,80,1095,nellore,rabi,181,wilt
sugarcane,redsoil,56,30,76,1095,nellore,rabi,151,rust
sugarcane,coastalsandysoil,48,29,84,1095,nellore,rabi,121,sugarcanemosaic
sugarcane,alluvialsoil,64,28,78,1095,nellore,rabi,181,grassyshoot
sugarcane,blackcottonsoil,66,29,79,1095,nellore,rabi,366,ratoonstunting
sugarcane,redsoil,53,29,75,1095,nellore,rabi,201,guosis
sugarcane,redsandy,45,31,68,934,chittoor,kharif,101,redstripe
sugarcane,redloam,49,31,71,934,chittoor,kharif,361,redrot
sugarcane,redsandy,43,32,69,934,chittoor,kharif,91,smut
sugarcane,blackloamy,56,29,76,934,chittoor,kharif,181,sugarcanemosaic
sugarcane,redclay,51,30,73,934,chittoor,kharif,121,wilt
sugarcane,redsandy,46,33,66,934,chittoor,kharif,16,settrot
sugarcane,redloam,48,31,73,934,chittoor,kharif,271,ratoonstunting
sugarcane,blackloamy,57,28,75,934,chittoor,kharif,151,grassyshoot
sugarcane,redloam,50,30,71,934,chittoor,kharif,201,guosis
sugarcane,redclay,47,29,70,934,chittoor,kharif,301,rust
sugarcane,deltaicalluvial,56,30,79,1153,westgodavari,kharif,301,ratoonstunting
sugarcane,clayloam,55,31,79,1204,eastgodavari,kharif,361,redrot
sugarcane,redsandyloam,46,33,66,1034,krishna,kharif,91,smut
sugarcane,sandyclayloam,49,32,76,1202,visakhapatnam,kharif,31,settrot
sugarcane,redloam,51,30,74,934,chittoor,kharif,121,wilt
sugarcane,clayloam,53,29,75,1153,westgodavari,kharif,271,rust
sugarcane,redclayloam,50,32,71,1204,eastgodavari,kharif,151,guosis
sugarcane,sandyalluvial,44,33,67,1034,nellore,kharif,101,redstripe
sugarcane,blackloamy,57,29,73,934,chittoor,kharif,181,sugarcanemosaic
sugarcane,redsandyloam,48,33,66,1162,srikakulam,kharif,61,grassyshoot
paddy,redsoil,89,28,90,705,srikakulam,kharif,46,ricegrassystuntdisease
paddy,redsoil,87,27,89,705,srikakulam,kharif,51,riceraggedstuntdisease
paddy,redsoil,81,29,86,705,srikakulam,kharif,41,blast
paddy,redsoil,79,27,81,705,srikakulam,kharif,51,brownspot
paddy,redsoil,83,28,84,705,srikakulam,kharif,61,narrowbrownleafspot
paddy,redsoil,89,29,91,705,srikakulam,kharif,66,sheathrot
paddy,redsoil,91,30,93,705,srikakulam,kharif,71,sheathblight
paddy,redsoil,86,29,89,705,srikakulam,kharif,76,falsesmut
paddy,redsoil,85,30,88,705,srikakulam,kharif,61,stemrot
paddy,redsoil,90,28,92,705,srikakulam,kharif,56,bacterialleafblight
paddy,redsoil,81,27,87,705,srikakulam,kharif,51,bacterialleafstreak
paddy,redsoil,92,26,93,705,srikakulam,kharif,61,ricetungrodisease
paddy,redsandyclayloam,89,28,90,692,vizayanagaram,kharif,46,ricegrassystuntdisease
paddy,redsandyloam,83,29,86,692,vizayanagaram,kharif,41,blast
paddy,redsandyclayloam,81,28,84,692,vizayanagaram,kharif,51,brownspot
paddy,redsandyloam,86,30,89,692,vizayanagaram,kharif,61,sheathblight
paddy,redloamysandysoil,87,30,90,692,vizayanagaram,kharif,71,falsesmut
paddy,redsandyloam,85,28,89,692,vizayanagaram,kharif,56,bacterialleafblight
paddy,redsandyloam,83,27,86,692,vizayanagaram,kharif,51,bacterialleafstreak
paddy,redsandyloam,91,26,93,692,vizayanagaram,kharif,61,ricetungrodisease
paddy,sandyclayloam,74,26,73,150,eastgodavari,rabi,51,bacterialleafstreak
paddy,clayloamysoil,89,30,91,760,eastgodavari,kharif,41,blast
paddy,sandyclayloam,86,29,89,760,eastgodavari,kharif,51,brownspot
paddy,clayloamysoil,91,31,92,760,eastgodavari,kharif,61,sheathblight
paddy,redsandyloam,85,30,90,760,eastgodavari,kharif,66,falsesmut
paddy,sandyclayloam,87,29,88,760,eastgodavari,kharif,71,sheathrot
paddy,clayloamysoil,91,28,93,760,eastgodavari,kharif,56,bacterialleafblight
paddy,clayloamysoil,86,27,89,760,eastgodavari,kharif,51,bacterialleafstreak
paddy,redsandyloam,90,29,91,760,eastgodavari,kharif,61,ricetungrodisease
paddy,sandyclayloam,88,28,90,760,eastgodavari,kharif,51,ricegrassystuntdisease
paddy,clayloamysoil,76,25,71,160,eastgodavari,rabi,41,blast
paddy,sandyclayloam,73,24,69,150,eastgodavari,rabi,51,brownspot
paddy,clayloamysoil,79,26,74,160,eastgodavari,rabi,61,falsesmut
paddy,redsandyloam,75,27,71,150,eastgodavari,rabi,66,bacterialleafblight
paddy,heavyclays,76,27,72,239,westgodavari,rabi,66,bacterialleafstreak
paddy,clayloam,89,29,91,792,westgodavari,kharif,36,blast
paddy,redsandyloam,83,30,89,792,westgodavari,kharif,41,brownspot
paddy,deltaicalluvial,86,28,93,792,westgodavari,kharif,51,sheathblight
paddy,heavyclays,91,27,92,792,westgodavari,kharif,61,bacterialleafblight
paddy,sandyalluvial,87,29,88,792,westgodavari,kharif,56,falsesmut
paddy,clayloam,77,25,73,239,westgodavari,rabi,36,brownspot
paddy,redsandyloam,75,24,71,239,westgodavari,rabi,46,bacterialleafblight
paddy,deltaicalluvial,79,26,74,239,westgodavari,rabi,51,sheathrot
paddy,clayloam,73,25,70,239,westgodavari,rabi,61,falsesmut
paddy,alluvialsoils,86,31,79,700,guntur,rabi,46,sheathblight
paddy,blackcottonsoils,83,29,81,600,guntur,rabi,91,blast
paddy,blackcottonsoils,65,31,81,500,guntur,rabi,61,footrot
paddy,redsoils,69,29,91,700,guntur,rabi,61,bacterialleafstreak
paddy,alluvialsoils,80,31,81,500,guntur,kharif,91,sheathrot
paddy,blackcottonsoils,65,31,86,500,guntur,rabi,91,brownspot
paddy,redsoils,65,27,86,600,guntur,rabi,76,footrot
paddy,alluvialsoils,81,27,79,500,guntur,rabi,31,sheathrot
paddy,alluvialsoils,83,27,81,450,guntur,rabi,76,falsesmut
paddy,redsoils,73,33,81,600,guntur,rabi,31,blast
paddy,redloams,67,26,81,700,krishna,kharif,71,falsesmut
paddy,blackcottonsoils,69,29,86,720,krishna,kharif,51,bacterialleafblight
paddy,redloams,63,28,83,700,krishna,kharif,61,sheathblight
paddy,sandyclayloams,61,27,79,685,krishna,kharif,46,brownspot
paddy,blackcottonsoils,71,30,88,730,krishna,kharif,71,falsesmut
paddy,alluvialsoils,76,26,91,750,krishna,kharif,56,leafblast
paddy,blackcottonsoils,66,25,84,260,krishna,rabi,61,footrot
paddy,redloams,61,24,79,250,krishna,rabi,66,sheathrot
paddy,sandyclayloams,59,23,77,270,krishna,rabi,71,tungrovirus
paddy,alluvialsoils,67,25,81,255,krishna,rabi,51,bacterialleafstreak
paddy,blackcottonsoils,70,28,85,710,krishna,kharif,41,stemrot
paddy,redloams,64,27,82,695,krishna,kharif,66,neckblast
paddy,sandyclayloams,65,26,80,680,krishna,kharif,61,sheathblight
paddy,blackcottonsoils,68,27,84,715,krishna,kharif,56,bacterialpanicleblight
paddy,alluvialsoils,69,25,83,720,krishna,kharif,61,leafscald
paddy,sandyloamysoils,67,29,85,410,prakasam,kharif,46,sheathrot
paddy,shallowredsoils,61,29,86,400,prakasam,kharif,51,sheathblight
paddy,deepblackcottonsoils,71,27,89,450,prakasam,kharif,61,bacterialleafblight
paddy,sandyloamysoils,66,28,83,420,prakasam,kharif,46,brownspot
paddy,deepblackcottonsoils,81,25,91,470,prakasam,kharif,71,leafblast
paddy,shallowredsoils,59,30,76,390,prakasam,kharif,41,bacterialleafstreak
paddy,sandyloamysoils,73,26,88,460,prakasam,kharif,56,falsesmut
paddy,deepblackcottonsoils,79,29,87,430,prakasam,rabi,61,footrot
paddy,shallowredsoils,66,27,85,410,prakasam,rabi,56,sheathblight
paddy,sandyloamysoils,63,28,81,395,prakasam,rabi,51,brownspot
paddy,deepblackcottonsoils,76,26,90,460,prakasam,rabi,71,leafblast
paddy,shallowredsoils,61,29,86,400,prakasam,rabi,61,bacterialleafblight
paddy,sandysoils,71,27,88,430,prakasam,rabi,66,falsesmut
paddy,shallowredsoils,69,28,87,440,prakasam,kharif,51,stemrot
paddy,deepblackcottonsoils,77,26,91,470,prakasam,kharif,61,bacterialleafstreak
paddy,claysoils,83,27,92,455,nellore,rabi,76,falsesmut
paddy,redloams,71,29,86,400,nellore,kharif,41,sheathblight
paddy,redsandy,69,31,81,350,nellore,kharif,56,brownspot
paddy,claysoils,81,28,91,450,nellore,kharif,71,bacterialleafblight
paddy,blackloamy,76,30,89,420,nellore,kharif,66,sheathrot
paddy,redclay,66,32,79,380,nellore,kharif,46,blast
paddy,redloams,73,29,83,390,nellore,kharif,61,bacterialleafstreak
paddy,claysoils,86,27,93,460,nellore,kharif,81,falsesmut
paddy,redsandy,67,30,78,370,nellore,kharif,51,brownspot
paddy,redloams,79,28,88,440,nellore,kharif,76,sheathblight
paddy,claysoils,84,27,94,470,nellore,kharif,91,stemrot
paddy,blackloamy,77,29,90,430,nellore,kharif,86,falsesmut
paddy,redclay,71,31,80,410,nellore,kharif,61,blast
paddy,redloams,75,30,82,395,nellore,rabi,51,bacterialleafblight
paddy,redsandy,70,28,85,405,nellore,rabi,66,sheathrot
paddy,redclayloam,56,25,91,702,vishakapatanam,kharif,121,blast
paddy,redsandyloam,60,24,92,710,vishakapatanam,kharif,121,blast
paddy,redclayloam,41,27,83,692,vishakapatanam,kharif,121,brownspot
paddy,redsandyloam,47,28,84,698,vishakapatanam,kharif,121,brownspot
paddy,redclayloam,44,25,87,703,vishakapatanam,kharif,121,narrowbrownleafspot
paddy,redsandyloam,47,24,88,720,vishakapatanam,kharif,121,narrowbrownleafspot
paddy,redclayloam,73,25,86,713,vishakapatanam,kharif,121,sheathrot
paddy,redclayloam,80,25,92,708,vishakapatanam,kharif,121,sheathblight
paddy,redclayloam,68,28,91,703,vishakapatanam,kharif,121,falsesmut
paddy,redclayloam,56,27,87,713,vishakapatanam,kharif,121,udbattadisease
paddy,redclayloam,70,29,92,720,vishakapatanam,kharif,121,stackburn
paddy,redclayloam,81,28,90,713,vishakapatanam,kharif,121,stemrot
paddy,redclayloam,86,30,89,710,vishakapatanam,kharif,121,footrot
paddy,redclayloam,88,26,83,713,vishakapatanam,kharif,121,bacterialleafblight
paddy,redclayloam,89,30,87,713,vishakapatanam,kharif,121,bacterialleafstrike
paddy,redclayloam,71,30,73,713,vishakapatanam,kharif,121,ricetungrodisease
paddy,redsoil,76,28,86,251,kadapa,rabi,71,bacterialpanicleblight
paddy,blacksoil,73,29,86,394,kadapa,kharif,46,sheathblight
paddy,redsoil,69,30,84,394,kadapa,kharif,51,brownspot
paddy,redsoil,75,31,83,394,kadapa,kharif,61,blast
paddy,blacksoil,76,28,88,394,kadapa,kharif,66,falsesmut
paddy,redsoil,71,29,89,394,kadapa,kharif,71,bacterialleafblight
paddy,sandysoil,67,30,80,394,kadapa,kharif,76,ricetungrodisease
paddy,blacksoil,73,27,82,394,kadapa,kharif,61,sheathrot
paddy,redsoil,70,26,84,394,kadapa,kharif,51,bacterialleafstreak
paddy,redsoil,74,29,86,394,kadapa,kharif,71,stemrot
paddy,sandysoil,68,30,85,394,kadapa,kharif,61,grassystuntdisease
paddy,blacksoil,71,25,81,251,kadapa,rabi,51,bacterialleafstreak
paddy,redsoil,75,26,83,251,kadapa,rabi,61,sheathblight
paddy,blacksoil,77,27,85,251,kadapa,rabi,66,blast
paddy,redsoil,73,28,87,251,kadapa,rabi,71,falsesmut
paddy,redsoil,71,27,84,251,kadapa,rabi,61,footrot
paddy,sandysoil,66,29,82,251,kadapa,rabi,56,stackburn
paddy,blacksoil,79,30,89,251,kadapa,rabi,61,neckblast
paddy,redloams,64,27,82,410,chittoor,rabi,66,neckblast
paddy,redloams,79,29,89,410,chittoor,kharif,46,sheathrot
paddy,redsandy,71,31,86,420,chittoor,kharif,56,brownspot
paddy,claysoils,86,28,92,455,chittoor,kharif,76,falsesmut
paddy,redloams,69,30,83,430,chittoor,kharif,61,bacterialleafblight
paddy,redclay,66,32,79,400,chittoor,kharif,41,blast
paddy,redloams,73,29,87,390,chittoor,rabi,51,bacterialleafstreak
paddy,redsandy,70,28,85,405,chittoor,rabi,66,sheathblight
paddy,redclayloam,81,30,91,450,chittoor,rabi,61,stemrot
paddy,claysoils,83,27,94,470,chittoor,rabi,86,falsesmut
paddy,redsandy,67,31,81,385,chittoor,rabi,56,brownspot
paddy,blacksoil,86,29,90,455,kurnool,kharif,71,footrot
paddy,blacksoil,81,28,86,455,kurnool,kharif,46,bacterialleafblight
paddy,redsoil,73,29,84,455,kurnool,kharif,56,brownspot
paddy,blacksoil,79,30,89,455,kurnool,kharif,61,sheathrot
paddy,blacksoil,85,29,88,455,kurnool,kharif,71,sheathblight
paddy,redsoil,76,27,83,455,kurnool,kharif,51,blast
paddy,blacksoil,89,28,91,455,kurnool,kharif,66,falsesmut
paddy,redsoil,75,26,81,455,kurnool,kharif,61,stemrot
paddy,blacksoil,70,25,79,455,kurnool,kharif,46,bacterialleafstreak
paddy,redsoil,78,27,85,455,kurnool,kharif,56,ricetungrodisease
paddy,blacksoil,64,29,82,328,anantapur,kharif,81,stemrot
paddy,shallowredsoil,59,28,79,328,anantapur,kharif,46,brownspot
paddy,shallowredsoil,61,29,81,328,anantapur,kharif,51,blast
paddy,blacksoil,65,30,83,328,anantapur,kharif,61,sheathrot
paddy,shallowredsoil,63,27,78,328,anantapur,kharif,56,bacterialleafstreak
paddy,blacksoil,67,29,80,328,anantapur,kharif,66,falsesmut
paddy,shallowredsoil,69,31,85,328,anantapur,kharif,71,sheathblight
paddy,shallowredsoil,66,32,77,328,anantapur,kharif,76,bacterialleafblight
paddy,redloams,67,30,91,328,anantapur,kharif,76,bacterialpanicleblight
paddy,clayloam,83,30,86,792,westgodavari,kharif,71,neckblast
paddy,alluvialsoils,81,29,87,720,krishna,kharif,66,neckblast
paddy,redclayloam,79,29,88,713,visakhapatnam,kharif,66,neckblast
